,objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber
10,11,False,1979.486.2,1979,False,,,[],The American Wing,Coin,Two-and-a-half-dollar Liberty Head Coin,,,,,,Maker,,Christian Gobrecht,1785–1844,,"Gobrecht, Christian",,1785,1844,,https://www.wikidata.org/wiki/Q5109648,http://vocab.getty.edu/page/ulan/500077295,1907,1907,1907,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/11,,,False,
11,12,False,1979.486.7,1979,False,,,[],The American Wing,Coin,Twenty-dollar Liberty Head Coin,,,,,,Maker,,James Barton Longacre,"American, Delaware County, Pennsylvania 1794–1869 Philadelphia, Pennsylvania",,"Longacre, James Barton",American,1794,1869,,https://www.wikidata.org/wiki/Q3806459,http://vocab.getty.edu/page/ulan/500011409,1876,1876,1876,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/12,,,False,
12,13,False,1979.486.4,1979,False,,,[],The American Wing,Coin,Five-dollar Indian Head Coin,,,,,,Maker,,Bela Lyon Pratt,1867–1917,,"Pratt, Bela Lyon",,1867,1917,,https://www.wikidata.org/wiki/Q4881787,http://vocab.getty.edu/page/ulan/500095555,1910,1910,1910,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/13,,,False,
13,14,False,1979.486.5,1979,False,,,[],The American Wing,Coin,Five-dollar Liberty Head Coin,,,,,,Maker,,Christian Gobrecht,1785–1844,,"Gobrecht, Christian",,1785,1844,,https://www.wikidata.org/wiki/Q5109648,http://vocab.getty.edu/page/ulan/500077295,1907,1907,1907,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/14,,,False,
14,15,False,16.74.49,1916,False,,,[],The American Wing,Coin,"Coin, 1/2 Real",Mexican,,,,,,,,,,,,,,,,,1665–1700,1665,1700,Silver,Diam. 1/2 in. (1.3 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/15,,,False,
15,16,False,16.74.27,1916,False,,,[],The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,,,,,,,,,,,,,,,1800–1900,1800,1900,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/16,,,False,
16,17,False,16.74.28,1916,False,,,[],The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,,,,,,,,,,,,,,,1867,1867,1867,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/17,,,False,
17,18,False,16.74.29,1916,False,,,[],The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,,,,,,,,,,,,,,,1860,1860,1860,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/18,,,False,
18,19,False,16.74.30,1916,False,,,[],The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,,,,,,,,,,,,,,,1859,1859,1859,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/19,,,False,
19,20,False,16.74.31,1916,False,,,[],The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,,,,,,,,,,,,,,,1860,1860,1860,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/20,,,False,
